Title,Service Group,Service Category,Description,Eligibility
"Milestones to Employment for 
Newcomer Women",Employment - Job Seeker,Employment Programs,"Are you a newcomer woman to Canada, currently without work or in temporary jobs? Milestones to Employment is a FREE employment program that can place you in steady, high-demand and long-term jobs.

Milestones to Employment assists visible minority newcomer women with little or no previous work experience, who are open to entry-level careers in the high-demand Commercial Cleaning and Institutional Food Service (Catering) industries. 
Program features: 4-week classroom training to help you get a job and prepare you for a successful career. 
12-week paid job-placement with a professional company in Commercial Cleaning or Food Service, based in Peel Region.
One-on-one employment coaching and support up to 12 months.","Visible minority newcomer women
Eligible to work in Canada (Permanent Resident or Convention Refugee) 
Canadian Language Benchmark (CLB) score of 4 or higher
Little to no Canadian work experience 
Low education credentials 
Low skill level 
Unemployed or working in part-time survival jobs "
Mentoring Program ,Employment - Job Seeker,Employment Programs,"If you are an immigrant with a professional background and at least two years of international experience, TRIEC Mentoring Partnership can help you reconnect with your career. With the support of a mentor who works in your field in Canada, you will:

Develop job search strategies
Better understand Canadian workplace culture
Gain labour market insights
Build vital professional networks
Understand the Canadian context of your profession","Two-plus years of international experience in your professional field
Lived in Canada for less than five years
Unemployed or underemployed and looking to reconnect with your career"
The Canadian Language Benchmarks Online Self-Assessment,Language,Assessment & Referrals,"Assess your English and French language skills online for free.

The CLB-OSA is an online self-assessment tool for those who are interested in assessing their English as a Second Language (ESL). These free, low-stakes, task-based assessments are based on the Canadian Language Benchmarks (CLB). The tools assess English and French proficiency on a scale from Benchmark 1 to 8 in two skill areas: Reading and Listening.
Le NCLC-AEL est un outil d’autoévaluation en ligne destiné aux personnes qui veulent évaluer leur français langue seconde (FLS). Les tests sont fondés sur les Niveaux de compétence linguistique canadiens (NCLC). Ils évaluent votre niveau de compétence linguistique en compréhension de l’écrit et de l’oral. 

The results from this self-assessment cannot be used for employment, immigration, academic admission, citizenship application, or placement into most language training programs. The self-assessments are solely to aid in making informed decisions about immigration, language learning and career pathways.","Intended for: 
Prospective immigrants 
Newcomers to Canada 
Instructors of English as a Second Language 
Professionals assisting immigrants"
Language Assessment Services - York Durham Simcoe,Language,Assessment & Referrals,"Looking to improve your French or English language skills? Your first step is completing a language assessment. 

Language Assessment Services provides free English/French language assessments and class referrals to eligible immigrants seeking language training in York, Simcoe and Durham. 

Language assessments are conducted by certified language assessors using the following standardized tools: 
Canadian Language Benchmarks Assessment (CLBA) 
Canadian Language Benchmarks Assessment for Literacy Learners (CLBA-LL) 
Canadian Language Benchmarks Placement Test (CLBPT) 
Enhanced Language Training Placement Assessment (ELTPA) 
Literacy Placement Tool (LPT) 
Batterie de tests de classement (BTC-NCLC) 

Language assessments are provided by appointment at our company locations, online and at additional itinerant sites. Call or visit a centre Monday to Friday, between 9:00 AM and 4:00 PM.  To book an assessment call: 1-855-330-8655 or email ysla@tcet.com 

Assessment 
Certified assessors conduct the assessments by appointment only. The assessment process can take three hours or more. 

Referral and training options 
Upon assessment completion, clients are provided with a range of training options available in their local communities and are referred to their choice of language training classes.

Language training programs 
Programs federally funded by Immigration, Refugees and Citizenship Canada (IRCC) include: 
Language Instruction for Newcomers to Canada (LINC) 
Enhanced Language Training (ELT)
Occupation Specific Language Training (OSLT) 

Programs funded by the Ontario Citizenship and Immigration Division of the Ministry of Children, Community and Social Services (MCCSS) include:
English as a Second Language (ESL)
French as a Second Language (FSL) 
Bridge to Work (BTW) 
Specialized Language Training (SLT) 

Welcome Centre Immigrant Services
Clients who wish to learn English at the five Welcome Centre Immigrant Services locations can visit welcomecentre.ca [add weblink] for more information or call 1-877-761-1155 to book an appointment. Other community locations offering classes are located throughout York Region and Simcoe County. 

Collection of personal information 
Immigration, Refugees and Citizenship Canada (IRCC) helps immigrants, including refugees, settle in Canada. To do this, IRCC funds organizations across the country to provide newcomers with services such as language training. To make sure newcomers get the right services, IRCC requires that the Language Assessment Centre collect personal information from you under the Immigration and Refugee Protection Act and all information collected is protected under the federal government’s Privacy Act. ","Generally available at no cost to eligible newcomers to Canada 
Must be verified when scheduling an appointment 
18 years of age or older 
Under 18 years of age with proof of high school completion from country of origin. 
Canadian Citizen (born outside Canada who doesn’t speak English as a first language)
Permanent Resident 
Convention Refugee/Protected Person 
Application for Permanent Resident status is being processed in Canada and has been informed by a letter from the Immigration, Refugees and Citizenship Canada of the initial approval of their application subject to an admissibility assessment
Refugee Claimant 
Temporary Worker or Student who has obtained initial approval for a concurrent Application for Permanent Residence 
Foreign Domestic Worker admitted under the Live-In Caregiver program 
Provincial Nominee (or Dependant) approved through Opportunities Ontario 
Temporary Foreign Worker (or Dependant) approved through Canadian Experience Class "
Language Assessment Services - Peel Halton Dufferin,Language,Assessment & Referrals,"Improve your English or French

Language Assessment Services provide free English/French language assessments and referrals to classes for eligible immigrants seeking language training in the Regions of Peel, Halton, and Dufferin County. 

Completing a language assessment is the first step to accessing language classes in your community.

Language assessments are conducted by certified language assessors using the following standardized tools: 
Canadian Language Benchmarks Assessment (CLBA) 
Canadian Language Benchmarks Assessment for Literacy Learners (CLBA-LL) 
Canadian Language Benchmarks Placement Test (CLBPT) 
Enhanced Language Training Placement Assessment (ELTPA) 
Literacy Placement Tool (LPT) 
Batterie de tests de classement (BTC-NCLC) 

Language assessments are provided by appointment at our company locations, online and at additional itinerant sites. Call or visit a centre Monday to Friday, between 9:00 AM and 4:00 PM. Evening or Saturday appointments are also available.  

Language training programs
Programs federally funded by Immigration, Refugees and Citizenship Canada (IRCC) include:
Language Instruction for Newcomers to Canada (LINC)
Enhanced Language Training (ELT)
Occupation Specific Language Training (OSLT)

Programs funded by the Ontario Citizenship and Immigration Division of the Ministry of Children, Community and Social Services (MCCSS) include:
English as a Second Language (ESL)
French as a Second Language (FSL)
Bridge to Work (BTW)
Specialized Language Training (SLT) 

Support for Community Partnership Committees 
In Peel-Halton-Dufferin, coordinated support is provided to the Peel-Halton-Dufferin Language Partnership. 

These services include:
Facilitating the delivery of language training curriculum based on the Canadian Language Benchmarks (CLB)
Liaising with agencies and organizations that provide language training in the Regions of Peel, Halton and Dufferin County and facilitate partnership connections
Providing statistical information based on language assessment and demographics to funders and partner organizations for planning purposes 
Designing and maintaining hosted website (languagepeelhalton.ca). 

Les Centres d’évaluation linguistique (CLARS) 
Les Centres d’évaluation linguistique CLARS offrent des évaluations linguistiques de l’anglais et du français gratuites ainsi qu’un aiguillage à des cours aux immigrants admissibles en quête de formation linguistique dans les régions de Peel, de Halton, et de Dufferin. 

Cette évaluation se veut la première étape de l’accès à des cours de langue dans votre communauté. Pour prendre rendez-vous pour une évaluation linguistique, prière d’appeler ou de visiter un centre d’évaluation CLARS dans votre région, du lundi au vendredi entre 9 h et 16 h; des rendez-vous en soirée et les samedis sont également offerts. 

Les évaluations linguistiques sont effectuées par des évaluateurs certifiés à l’aide des outils normalisés suivants: 
Évaluation selon les Niveaux de compétence linguistique canadiens (ENCLC) 
Évaluation de la connaissance selon les Niveaux de compétence linguistique canadiens (ECNCLC) 
Test de classement selon les Niveaux de compétence linguistique canadiens (NCLC-TC)
Évaluation de classement pour les cours de langue de niveau avancé (ELTPA) 
Outil d’évaluation du niveau d’alphabétisation (LPT) 
Batterie de tests de classement (BTC-NCLC)                                                                                                                                                                                                                                                                                                                                         Collection of personal information 
Immigration, Refugees and Citizenship Canada (IRCC) helps immigrants, including refugees, settle in Canada. To do this, IRCC funds organizations across the country to provide newcomers with services such as language training. To make sure newcomers get the right services, IRCC requires that the Language Assessment Centre collect personal information from you under the Immigration and Refugee Protection Act and all information collected is protected under the federal government’s Privacy Act.                                                                                                                                                                                                                                                                                                                                                      ","Generally available at no cost to eligible newcomers to Canada 
Must be verified when scheduling an appointment 
18 years of age or older 
Under 18 years of age with proof of high school completion from country of origin. 
Canadian Citizen (born outside Canada who doesn’t speak English as a first language)
Permanent Resident 
Convention Refugee/Protected Person 
Application for Permanent Resident status is being processed in Canada and has been informed by a letter from the Immigration, Refugees and Citizenship Canada of the initial approval of their application subject to an admissibility assessment
Refugee Claimant 
Temporary Worker or Student who has obtained initial approval for a concurrent Application for Permanent Residence 
Foreign Domestic Worker admitted under the Live-In Caregiver program 
Provincial Nominee (or Dependant) approved through Opportunities Ontario 
Temporary Foreign Worker (or Dependant) approved through Canadian Experience Class "
LINC Home Study Ontario,Language,Distance Learning,"Learn English at home for free! 

Language Instruction for Newcomers to Canada (LINC) is an English language training program funded by Immigration, Refugees and Citizenship Canada (IRCC). Phoenix’s LINC Home Study program provides free distance education for eligible newcomers to Canada who cannot attend LINC classes in person.

The LINC Home Study Ontario program supports eligible clients in the province of Ontario.

To be successful in the program, you need at least 5 hours to study independently each week. You can choose to study either online (computer with internet access) or by correspondence (books and CDs). You are matched with a TESL-certified instructor for weekly one-on-one classes by telephone or VoIP. Your instructor will tailor your learning plan based on your needs, provide you with ongoing support and give you regular feedback on your learning progress. 

To be referred to the LINC Home Study program, you must first book an appointment at a Language Assessment Centre to test your English language skills and confirm your eligibility. After your referral, LINC Home Study will gather more information to complete your registration. You will be placed on a waitlist until space becomes available. When it is time for you to start the program, your instructor will contact you by phone or email.","Permanent Resident or Convention Refugee 
Of legal school leaving age in Ontario
Unable to attend LINC classes in person 
A minimum Canadian Language Benchmark (CLB) score of 3 for listening and speaking and a score of 2 for reading and writing."
LINC Home Study Canada,Language,Distance Learning,"Learn English at home for free! 

Language Instruction for Newcomers to Canada (LINC) is an English language training program funded by Immigration, Refugees and Citizenship Canada (IRCC). Phoenix’s LINC Home Study program provides free distance education for eligible newcomers to Canada who cannot attend LINC classes in person.

The LINC Home Study Canada program supports eligible clients in British Columbia, Alberta, Manitoba, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland, Yukon, Northwest Territories and Nunavut.

To be successful in the program, you need at least 5 hours to study independently each week. You can choose to study either online (computer with internet access) or by correspondence (books and CDs). You are matched with a TESL-certified instructor for weekly one-on-one classes by telephone or VoIP. Your instructor will tailor your learning plan based on your needs, provide you with ongoing support and give you regular feedback on your learning progress. 

To be referred to the LINC Home Study program, you must first book an appointment at a Language Assessment Centre to test your English language skills and confirm your eligibility. After your referral, LINC Home Study will gather more information to complete your registration. You will be placed on a waitlist until space becomes available. When it is time for you to start the program, your instructor will contact you by phone or email.","Permanent Resident or Convention Refugee 
Of legal school leaving age within province or territory of residence 
Unable to attend LINC classes in person 
A minimum Canadian Language Benchmark (CLB) score of 3 for Listening and Speaking and a score of 2 for Reading and Writing.
"
Online English Stage 1-2,Language,Distance Learning,"Learn English at home for free! 

Online English Stage 1-2 is an English language training program funded by the Government of Saskatchewan. Phoenix’s Online English Stage 1-2 program provides free distance education for eligible Canadiand Citizens and Temporary Foreign Workers living in Saskatchewan who cannot attend LINC classes in person.

To be successful in the program, you need at least 5 hours to study independently each week. You can choose to study either online (computer with internet access) or by correspondence (books and CDs). You are matched with a TESL-certified instructor for weekly one-on-one classes by telephone or VoIP. Your instructor will tailor your learning plan based on your needs, provide you with on-going support and give you regular feedback on your learning progress. 

To be referred to the Online English Stage 1-2 program, you must first book an appointment at a Language Assessment Centre to test your English language skills and confirm your eligibility. After your referral, Online English Stage 1-2 will gather more information to complete your registration. You will be placed on a waitlist until space becomes available. When it is time for you to start the program, your instructor will contact you by phone or email.","Canadian Citizen or Temporary Foreign Worker
In Canada for 8 years or less
18 years of age and above
Unable to attend language training classes in person 
A minimum Canadian Language Benchmark (CLB) score of 3 for Listening and Speaking and a score of 2 for Reading and Writing.


"
Language Assessment Training & Supports (LATS),Language,Assessors & Teachers,"LATS provides all Language Assessment and Referral Centres across Canada with functional guidance and training, program delivery materials and tools, information sharing and best practices. Our ultimate objective is to ensure that newcomer clients receive accurate language assessments and referrals in accordance with the Canadian Language Benchmarks (CLB) and National Language Placement and Progression Guidelines (NLPPG).


SERVICES

Assessor Training
- Canadian Language Benchmarks Placement Assessment (CLBPA) 
- Canadian Language Benchmarks Assessment (CLBA)
- Informal CLBA/OSA (during COVID-19)

Assessor Certification and Recalibration
- Canadian Language Benchmarks Assessment (CLBA)

Input to Guidelines for Language Assessment Centres in Canada and Updates

Information Resource Services for Assessors and Managers/Coordinators

Training and Assessment Materials

Distribution of CLBPA, CLBA, CLBA-LL, Informal CLBA/OSA Assessment Forms 

","Requests for assessor training must be received from a sponsoring organization/centre, as assessor training is not offered to individuals. Training is delivered to federally and provincially contracted assessors in CLARS Centres across Ontario and in assessment and referral centres across Canada.

All agencies are responsible for ensuring that candidates for CLB assessment instrument training demonstrate competencies in six core areas. Criteria for candidates relate to the following areas and all assessors using CCLB-recognized assessment instruments should demonstrate:

1. Adult Second Language Acquisition
Theoretical understanding of and practical experience working with appropriate stages of the Canadian Language Benchmarks and ESL for Adult Literacy Learners (ESL for ALL)

2. Assessment in Adult ESL
Theoretical and practical experience in assessing second language proficiency
An ability to comment orally and in writing on the effectiveness of client’s communication

3. Cultural Sensitivity
Have knowledge of factors that may affect client performance in testing situations
Be sensitive to diverse needs of clients
Demonstrate tact, diplomacy and respect when dealing with clients

4. Interview Skills
Demonstrate effective listening and elicitation strategies
Demonstrate level-appropriate speech for clients with language proficiencies covering all stages of the CLB 2012
Demonstrate awareness of educational counselling principles

5. Decision-making Skills
Demonstrate the ability to make appropriate assessment decisions in the absence of clear indicators
Demonstrate the ability to apply policies and procedures effectively
Demonstrate use of personal judgment to effectively use CCLB-recognized instruments

6. English Language Proficiency
Demonstrate advanced proficiency in all four English language skills (Listening, Speaking, Reading and Writing)"
Language Curriculum Training Services (LCTS),Language,Assessors & Teachers,"Learning resources for language teachers

LCTS provides language instructors across Ontario with curriculum-based professional development support specific to LINC and ELT classrooms. 

Coordinators and instructors have access to webinars presented on current and relevant topics. Additionally, instructors are encouraged to share best practices and resources specific to professional development needs and teacher activities.

Language Teachers’ Resource Centre (LTRC) 
lending library for language instructors

The Language Teachers’ Resource Centre is a lending library open to all language instructors. The LTRC’s collection includes classroom texts, videos, DVDs, CDs, instruction manuals, professional development materials and more. Materials may be borrowed for a period of up to three weeks. Browse LTRC’s Online Index or visit centre in person by appointment only. This project is funded by Immigration, Refugees and Citizenship Canada.
",For language instructors and administrators of IRCC funded language training programs in Ontario.
Language and Settlement Partnerships,Language,Community Partners,"In an effort to better support the delivery of language and settlement programs across Peel and Halton Regions and Dufferin County, IRCC-funded organizations come together in four partnerships that address specific areas and are overseen by one Executive Council: 
Language Partnership (LP)
Community Connections Partnership (CCP)
Information, Awareness and Orientation Partnership (IAOP)
Labour Market Partnership (LMP)           
                                                                                                                                                                                                                                         In Peel-Halton-Dufferin, coordinated support is provided to the Peel-Halton-Dufferin Language Partnership. These services include:
-Coordinating professional development and special events
-Facilitating the delivery of language training curriculum based on the Canadian Language Benchmarks
-Liaising with agencies and organizations that provide language training in the Regions of Peel, Halton and Dufferin County and facilitate partnership connections
-Providing statistical information based on language assessment and demographics to funders and partner organizations for planning purposes
-Designing and maintaining websites (languagepeelhalton.ca) and teaching resources for Language Instructors                                                                                                                                                                                                                                     -In York-Simcoe and Durham, coordinated support is provided to the York Region and Simcoe County Language Training Partner group as well as the Durham Community Language Partnership Committee",None
"History of Assessment, Referrals and Training System (HARTs)",Language,Community Partners,"HARTs delivers database services and support to the assessment and language training community in Ontario. 

This service provides logistics, data collection and analysis for the following organizations:
Immigration, Refugees and Citizenship Canada (IRCC) and the Citizenship and Immigration Division of the Ontario Ministry of Children, Community and Social Services (MCCSS) as well as IRCC or MCCSS funded Service Provider Organizations (SPOs) including Assessment Centres and Language Training Providers (LTPs) across Ontario. 

For clients, this system matches their needs and skills to the course options in their area. 
For language assessors, this system is used to record their clients’ language proficiency benchmarks and to refer clients to English and French classes across Ontario following CLARS protocols. It is also used by language training providers to record, track and manage their intake and wait lists. 

Community stakeholders, including IRCC and MCCSS, use HARTs statistical analysis for strategic planning. HARTs currently supports more than 150 organizations and 2,500 users across Ontario through training, help desk support and response to requests for system enhancement and special reports. ",None
xPortal and Learner MyPath (LMP),Language,Community Partners,"The xPortal application is used by provincially-funded Language Training Providers (LTPs) to record and track assessments, class registration, attendance and learning outcomes for their learners in specific English and French eLearning and Specialized Language Training (SLT) classes. These classes are not part of the regular Coordinated Language Assessment and Referral System and are considered pilot projects. 

Learner MyPath is a web-based application that enables learners in the provincial Adult Non-Credit Language Training Program to access their transcripts. This includes assessment results, courses taken and underway, as well as progression results in Specialized Language Training, eLearning, ESL and FSL courses. 

The xPortal and Learner MyPath Portal are projects funded by the Ministry of Children, Community and Social Services (MCCSS).
",None
Language Assessment Training & Supports (LATS),Language,Community Partners,"Language Assessment Training and Supports (LATS) provides all Language Assessment and Referral Centres across Canada with functional guidance and training, program delivery materials and tools, information sharing and best practices. Our ultimate objective is to ensure that newcomer clients receive accurate language assessments and referrals in accordance with the Canadian Language Benchmarks (CLB) and National Language Placement and Progression Guidelines (NLPPG).


SERVICES

Assessor Training
- Canadian Language Benchmarks Placement Assessment (CLBPA) 
- Canadian Language Benchmarks Assessment (CLBA)
- Informal CLBA/OSA (during COVID-19)

Assessor Certification and Recalibration
- Canadian Language Benchmarks Assessment (CLBA)

Input to Guidelines for Language Assessment Centres in Canada and Updates

Information Resource Services for Assessors and Managers/Coordinators

Training and Assessment Materials

Distribution of CLBPA, CLBA, CLBA-LL, Informal CLBA/OSA Assessment Forms 

","Requests for assessor training must be received from a sponsoring organization/centre, as assessor training is not offered to individuals. Training is delivered to federally and provincially contracted assessors in CLARS Centres across Ontario and in assessment and referral centres across Canada.

All agencies are responsible for ensuring that candidates for CLB assessment instrument training demonstrate competencies in six core areas. Criteria for candidates relate to the following areas and all assessors using CCLB-recognized assessment instruments should demonstrate:

1. Adult Second Language Acquisition
Theoretical understanding of and practical experience working with appropriate stages of the Canadian Language Benchmarks and ESL for Adult Literacy Learners (ESL for ALL)

2. Assessment in Adult ESL
Theoretical and practical experience in assessing second language proficiency
An ability to comment orally and in writing on the effectiveness of client’s communication

3. Cultural Sensitivity
Have knowledge of factors that may affect client performance in testing situations
Be sensitive to diverse needs of clients
Demonstrate tact, diplomacy and respect when dealing with clients

4. Interview Skills
Demonstrate effective listening and elicitation strategies
Demonstrate level-appropriate speech for clients with language proficiencies covering all stages of the CLB 2012
Demonstrate awareness of educational counselling principles

5. Decision-making Skills
Demonstrate the ability to make appropriate assessment decisions in the absence of clear indicators
Demonstrate the ability to apply policies and procedures effectively
Demonstrate use of personal judgment to effectively use CCLB-recognized instruments

6. English Language Proficiency
Demonstrate advanced proficiency in all four English language skills (Listening, Speaking, Reading and Writing)"
